mac,manufacturer,traffic_class,ip_addresses,packet_involvement
82:e6:50:12:14:64,Unresolved / no OUI match,unicast,"104.199.64.136,13.32.118.117,13.32.118.129,13.32.118.138,13.32.118.248,13.32.118.30,13.32.118.7,13.32.99.123,13.32.99.46,13.32.99.94,172.217.23.238,176.32.101.122,176.32.101.46,176.32.98.106,176.32.98.108,176.32.98.203,176.32.99.246,192.168.2.1,205.251.243.55,207.171.178.6,52.119.162.179,52.119.164.214,52.119.168.148,52.119.196.25,52.119.196.87,52.216.100.131,52.216.100.179,52.216.100.51,52.216.102.99,52.216.104.139,52.216.104.43,52.216.105.243,52.216.128.75,52.216.129.187,52.216.130.235,52.216.131.3,52.216.131.83,52.216.131.91,52.216.132.195,52.216.132.59,52.216.133.59,52.216.134.83,52.216.16.224,52.216.16.8,52.216.160.251,52.216.161.219,52.216.161.3,52.216.164.243,52.216.165.251,52.216.168.107,52.216.168.91,52.216.169.107,52.216.169.171,52.216.17.216,52.216.17.40,52.216.18.120,52.216.18.224,52.216.18.80,52.216.226.224,52.216.227.0,52.216.227.176,52.216.228.224,52.216.230.235,52.216.232.195,52.216.233.179,52.216.64.112,52.216.64.208,52.216.65.0,52.216.65.224,52.216.65.248,52.216.80.0,52.216.83.32,52.216.86.83,52.216.96.171,52.46.128.105,52.46.129.109,52.46.129.41,52.46.133.19,52.46.133.39,52.46.136.77,52.46.156.47,52.46.157.6,52.94.227.120,52.94.228.52,52.94.229.215,52.94.229.76,52.94.232.206,52.94.240.174,52.94.240.240,52.94.241.86,54.231.114.154,54.231.120.227,54.231.33.155,54.231.33.211,54.231.40.211,54.231.40.219,54.231.50.91,54.231.81.48,54.231.82.138,54.231.82.146,54.231.82.82,54.231.98.104,54.239.18.122,54.239.19.125,54.239.25.214,54.239.26.244,54.239.27.11,54.239.28.161,54.239.29.194,54.239.31.37,72.21.192.213,72.21.195.82,72.21.207.143,72.21.207.87,72.21.214.79,78.108.102.237,78.108.145.1,8.8.8.8,93.184.216.34",394913
4c:ef:c0:27:56:1e,Amazon Technologies Inc.,unicast,"0.0.0.0,192.168.2.3",394234
80:e6:50:21:86:7c,"Apple, Inc.",unicast,"0.0.0.0,169.254.15.115,192.168.69.192,239.255.255.250",2973
ff:ff:ff:ff:ff:ff,Unresolved / no OUI match,broadcast,"192.168.2.255,192.168.69.255,255.255.255.255",2727
00:01:02:03:04:05,3Com,unicast,,520
01:00:5e:00:00:fb,Unresolved / no OUI match,multicast,224.0.0.251,512
33:33:00:00:00:fb,Unresolved / no OUI match,multicast,,355
dc:a4:ca:e0:c8:c4,"Apple, Inc.",unicast,192.168.69.178,91
a8:60:b6:10:52:90,"Apple, Inc.",unicast,192.168.69.129,90
e4:9a:79:ea:2f:f9,"Apple, Inc.",unicast,192.168.69.200,56
9c:f4:8e:65:c4:4d,"Apple, Inc.",unicast,192.168.69.73,39
33:33:00:00:00:16,Unresolved / no OUI match,multicast,,29
74:81:14:46:65:6f,"Apple, Inc.",unicast,192.168.69.241,18
8c:85:90:99:91:89,"Apple, Inc.",unicast,192.168.69.136,13
01:00:5e:00:00:16,Unresolved / no OUI match,multicast,224.0.0.22,13
d0:4f:7e:1e:23:8d,"Apple, Inc.",unicast,192.168.69.17,12
33:33:00:00:00:02,Unresolved / no OUI match,multicast,,9
dc:53:7c:8e:53:d5,"Compal Broadband Networks, Inc.",unicast,192.168.69.1,6
dc:53:7c:8d:d4:78,"Compal Broadband Networks, Inc.",unicast,,4
01:00:5e:00:00:02,Unresolved / no OUI match,multicast,224.0.0.2,3
33:33:ff:3e:ad:f4,Unresolved / no OUI match,multicast,,3
33:33:ff:27:56:1e,Unresolved / no OUI match,multicast,,2
33:33:ff:21:86:7c,Unresolved / no OUI match,multicast,,1
d4:e6:b7:8e:14:c1,"Samsung Electronics Co.,Ltd",unicast,,1
