dns.qry.name,query_count
_afpovertcp._tcp.local,126
kindle-time.amazon.com,82
spectrum.s3.amazonaws.com,60
_airport._tcp.local,52
_homekit._tcp.local,47
d3p8zr0ffa9t17.cloudfront.net,40
device-metrics-us.amazon.com,39
ntp-g7g.amazon.com,38
Simona’s MacBook Pro._companion-link._tcp.local,27
_companion-link._tcp.local,23
Android.local,18
dc:a4:ca:e0:c8:c4@fe80::dea4:caff:fee0:c8c4._apple-mobdev2._tcp.local,16
e4:9a:79:ea:2f:f9@fe80::e69a:79ff:feea:2ff9._apple-mobdev2._tcp.local,11
_sleep-proxy._udp.local,8
3.2.168.192.in-addr.arpa,6
e.1.6.5.7.2.e.f.f.f.0.c.f.e.e.4.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,6
dp-gw-na.amazon.com,4
api.amazon.com,4
api.amazonalexa.com,4
74:81:14:46:65:6f@fe80::7681:14ff:fe46:656f._apple-mobdev2._tcp.local,4
_airplay._tcp.local,3
Simonas-MacBook-Pro.local,3
arcus-uswest.amazon.com,3
todo-ta-g7g.amazon.com,2
www.example.com,2
2.android.pool.ntp.org,2
dcape-na.amazon.com,2
pindorama.amazon.com,2
softwareupdates.amazon.com,2
device-fingerprintdb-v1.s3.amazonaws.com,2
device-messaging-na.amazon.com,2
www.example.net,1
firs-ta-g7g.amazon.com,1
dp-rsm-prod.amazon.com,1
d1s31zyz7dcc2d.cloudfront.net,1
dfzhgyb333bi7.cloudfront.net,1
clients3.google.com,1
www.example.org,1
d3h5bk8iotgjvw.cloudfront.net,1
tinytts.amazon.com,1
prod.amazoncrl.com,1
esdk-ffl.spotify.com,1
rzy2c39fu3.execute-api.us-east-1.amazonaws.com,1
