bin,query_count
0.0,3
600.0,27
660.0,12
720.0,5
840.0,1
900.0,2
960.0,2
1140.0,1
1200.0,3
1320.0,1
1440.0,1
1500.0,1
1560.0,1
1740.0,3
1800.0,2
1860.0,1
2100.0,2
2160.0,1
2340.0,1
2400.0,1
2460.0,1
2700.0,2
2760.0,1
2880.0,3
3000.0,2
3120.0,1
3300.0,1
3420.0,1
3480.0,1
3600.0,1
3660.0,1
3720.0,1
3840.0,1
3900.0,3
3960.0,2
4140.0,1
4200.0,1
4260.0,1
4440.0,1
4500.0,1
4740.0,1
4800.0,1
4860.0,2
4920.0,3
5160.0,3
5220.0,1
5460.0,3
5520.0,1
5760.0,5
5940.0,1
6060.0,2
6300.0,1
6360.0,1
6600.0,3
6660.0,4
6960.0,12
7020.0,18
7260.0,5
7320.0,1
7560.0,6
7860.0,4
7980.0,1
8160.0,4
8460.0,6
8520.0,3
8580.0,2
8700.0,1
8760.0,4
9060.0,3
9360.0,6
9600.0,1
9660.0,3
9900.0,1
9960.0,4
10200.0,3
10260.0,5
10380.0,1
10560.0,3
10800.0,1
10860.0,2
11100.0,1
11160.0,6
11460.0,5
11700.0,21
11760.0,4
11820.0,3
12060.0,8
12120.0,3
12180.0,2
12300.0,1
12360.0,2
12420.0,2
12660.0,2
12720.0,2
12780.0,3
12960.0,4
13200.0,1
13260.0,2
13320.0,23
13380.0,3
13440.0,3
13560.0,2
13620.0,1
13680.0,4
13800.0,2
13860.0,4
13920.0,1
14160.0,3
14220.0,2
14400.0,3
14460.0,3
14520.0,2
14580.0,1
14760.0,4
14820.0,1
15060.0,3
15120.0,1
15360.0,2
15660.0,3
15720.0,4
15780.0,3
15900.0,1
15960.0,2
16020.0,2
16200.0,1
16260.0,2
16320.0,2
16560.0,4
16620.0,2
16860.0,2
16920.0,2
16980.0,1
17160.0,2
17220.0,2
17400.0,3
17460.0,4
17520.0,2
17760.0,3
17820.0,2
18060.0,3
18120.0,2
18300.0,36
18360.0,10
18420.0,5
18480.0,1
18660.0,3
19320.0,3
19380.0,12
19440.0,3
19500.0,51
19560.0,38
19620.0,66
