flow,packets,mean_interval_s,cv,duration_s,classification
TCP|13.32.118.129:443<->192.168.2.3:48817,363141,0.001,293.423,246.0,bursty/irregular
TCP|192.168.2.3:38451<->52.46.136.77:443,15154,0.422,7.813,6388.0,bursty/irregular
TCP|13.32.118.138:443<->192.168.2.3:42408,4180,0.072,46.459,301.0,bursty/irregular
TCP|192.168.2.3:60550<->52.94.240.174:443,3140,3.775,2.616,11851.2,bursty/irregular
UDP|0.0.0.0:68<->255.255.255.255:67,1539,12.752,1.466,19612.8,bursty/irregular
ICMP|192.168.2.1:nan<->192.168.2.3:nan,1200,14.818,4.396,17766.4,bursty/irregular
UDP|192.168.2.1:57621<->192.168.2.255:57621,617,31.78,0.105,19576.6,heartbeat/periodic
TCP|192.168.2.3:56579<->52.46.129.41:443,284,0.866,16.065,245.0,bursty/irregular
TCP|13.32.99.94:80<->192.168.2.3:45698,277,0.435,16.556,120.1,bursty/irregular
TCP|192.168.2.3:47381<->52.46.129.41:443,180,1.368,12.757,244.8,bursty/irregular
UDP|169.254.15.115:5353<->224.0.0.251:5353,148,132.338,2.029,19453.8,bursty/irregular
UDP|192.168.2.1:5353<->224.0.0.251:5353,148,132.338,2.03,19453.8,bursty/irregular
TCP|192.168.2.3:40199<->52.216.233.179:443,115,0.011,2.532,1.2,bursty/irregular
TCP|13.32.118.129:443<->192.168.2.3:33413,110,0.003,6.509,0.3,bursty/irregular
TCP|192.168.2.3:39684<->54.239.28.161:443,109,2.788,8.413,301.1,bursty/irregular
TCP|192.168.2.3:35289<->54.231.40.211:443,103,0.01,2.802,1.0,bursty/irregular
TCP|192.168.2.3:38721<->54.239.27.11:443,95,83.507,3.636,7849.6,bursty/irregular
TCP|192.168.2.3:43036<->52.46.133.19:443,71,2.629,7.228,184.0,bursty/irregular
TCP|192.168.2.3:44663<->52.94.229.76:443,61,0.858,6.425,51.5,bursty/irregular
TCP|176.32.98.106:443<->192.168.2.3:48275,60,2.085,7.459,123.0,bursty/irregular
TCP|192.168.2.3:50136<->54.239.27.11:443,58,195.159,2.672,11124.1,bursty/irregular
UDP|192.168.2.3:5353<->224.0.0.251:5353,55,120.567,6.932,6510.6,bursty/irregular
TCP|192.168.2.3:57953<->52.119.196.87:443,49,69.996,4.793,3359.8,bursty/irregular
TCP|192.168.2.3:34788<->52.94.228.52:443,48,1.261,5.797,59.3,bursty/irregular
TCP|192.168.2.3:38715<->54.239.27.11:443,48,0.418,5.384,19.6,bursty/irregular
TCP|192.168.2.3:54831<->54.239.25.214:443,47,6.523,6.492,300.1,bursty/irregular
TCP|192.168.2.3:38719<->54.239.27.11:443,47,0.059,1.494,2.7,bursty/irregular
TCP|192.168.2.3:50194<->52.46.129.41:443,47,10.871,6.587,500.1,bursty/irregular
TCP|192.168.2.3:58974<->72.21.207.87:443,47,6.522,6.507,300.0,bursty/irregular
TCP|192.168.2.3:37475<->205.251.243.55:443,47,163.305,2.919,7512.0,bursty/irregular
TCP|192.168.2.3:54617<->54.239.31.37:443,46,8.891,6.483,400.1,bursty/irregular
TCP|192.168.2.3:34920<->52.46.129.41:443,46,8.906,6.481,400.8,bursty/irregular
TCP|192.168.2.3:50811<->52.46.128.105:443,45,1.092,5.411,48.0,bursty/irregular
TCP|192.168.2.3:60004<->54.239.31.37:443,45,1.583,5.654,69.6,bursty/irregular
TCP|192.168.2.3:34655<->52.46.156.47:443,43,0.886,4.987,37.2,bursty/irregular
TCP|192.168.2.3:50799<->52.46.129.41:443,41,7.506,6.056,300.2,bursty/irregular
TCP|192.168.2.3:45941<->52.94.228.52:443,41,7.501,6.059,300.1,bursty/irregular
UDP|192.168.69.178:5353<->224.0.0.251:5353,41,1.646,1.681,65.8,bursty/irregular
TCP|192.168.2.3:51044<->52.46.156.47:443,40,10.258,6.026,400.1,bursty/irregular
TCP|192.168.2.3:50005<->52.46.129.41:443,38,8.112,5.82,300.2,bursty/irregular
TCP|192.168.2.3:49431<->54.239.31.37:443,38,8.11,5.819,300.1,bursty/irregular
TCP|192.168.2.3:47722<->52.46.133.39:443,38,0.751,4.28,27.8,bursty/irregular
TCP|192.168.2.3:37664<->54.239.31.37:443,38,1.575,5.12,58.3,bursty/irregular
TCP|192.168.2.3:34385<->54.239.25.214:443,37,22.221,5.849,800.0,bursty/irregular
TCP|192.168.2.3:41097<->52.46.129.41:443,37,1.327,4.867,47.8,bursty/irregular
TCP|192.168.2.3:32876<->52.46.129.41:443,37,22.225,5.849,800.1,bursty/irregular
