flow,start,end,packets,bytes,duration_s
TCP|13.32.118.129:443<->192.168.2.3:48817,1537523554.795151,1537523800.783509,363141,361229894,245.98835802078247
TCP|192.168.2.3:38451<->52.46.136.77:443,1537523569.459393,1537529957.46672,15154,5781198,6388.007327079773
TCP|13.32.118.138:443<->192.168.2.3:42408,1537526423.346062,1537526724.318571,4180,3980344,300.9725091457367
TCP|192.168.2.3:60550<->52.94.240.174:443,1537529904.3237,1537541755.538089,3140,829693,11851.21438908577
UDP|0.0.0.0:nan<->255.255.255.255:nan,1537522822.96553,1537542435.803692,1539,526344,19612.83816218376
TCP|192.168.2.3:56579<->52.46.129.41:443,1537529955.624206,1537530200.584572,284,235450,244.9603660106659
TCP|13.32.99.94:80<->192.168.2.3:45698,1537529954.754871,1537530074.87025,277,207929,120.11537909507751
TCP|192.168.2.3:47381<->52.46.129.41:443,1537529955.746828,1537530200.584336,180,130377,244.83750796318054
ICMP|192.168.2.1:nan<->192.168.2.3:nan,1537523549.487076,1537541315.890441,1200,117600,17766.403364896774
TCP|13.32.118.129:443<->192.168.2.3:33413,1537523554.108827,1537523554.381902,110,80405,0.2730748653411865
TCP|192.168.2.3:39684<->54.239.28.161:443,1537526661.149014,1537526962.259252,109,76604,301.11023807525635
TCP|192.168.2.3:40199<->52.216.233.179:443,1537538701.101203,1537538702.301412,115,69580,1.200209140777588
TCP|192.168.2.3:35289<->54.231.40.211:443,1537531499.828885,1537531500.86573,103,69044,1.0368449687957764
UDP|192.168.2.1:nan<->192.168.2.3:nan,1537523548.881175,1537541400.505624,606,62740,17851.624449014664
UDP|192.168.2.1:nan<->192.168.2.255:nan,1537522826.84552,1537542403.444149,617,53062,19576.598628997803
TCP|192.168.2.3:44663<->52.94.229.76:443,1537526043.968131,1537526095.421926,61,36020,51.453794956207275
UDP|169.254.15.115:nan<->224.0.0.251:nan,1537522897.732507,1537542351.48308,148,32489,19453.750572919846
TCP|192.168.2.3:43036<->52.46.133.19:443,1537523553.909819,1537523737.905383,71,32076,183.99556422233582
UDP|192.168.2.1:nan<->224.0.0.251:nan,1537522897.732295,1537542351.482871,148,31860,19453.750576019287
TCP|176.32.98.106:443<->192.168.2.3:48275,1537523550.185739,1537523673.219368,60,30956,123.03362894058228
TCP|192.168.2.3:38721<->54.239.27.11:443,1537523571.372642,1537531420.983983,95,25783,7849.611340999603
TCP|192.168.2.3:34788<->52.94.228.52:443,1537524343.867152,1537524403.119324,48,24781,59.252171993255615
TCP|192.168.2.3:50194<->52.46.129.41:443,1537537500.490126,1537538000.562036,47,21862,500.07191014289856
TCP|192.168.2.3:58974<->72.21.207.87:443,1537524043.939827,1537524343.957453,47,21298,300.0176260471344
TCP|192.168.2.3:50811<->52.46.128.105:443,1537524743.944141,1537524791.986922,45,20705,48.04278111457825
TCP|192.168.2.3:54831<->54.239.25.214:443,1537530200.39667,1537530500.466009,47,19021,300.06933879852295
TCP|192.168.2.3:34920<->52.46.129.41:443,1537523643.976296,1537524044.741388,46,18967,400.7650921344757
TCP|192.168.2.3:34655<->52.46.156.47:443,1537526744.044156,1537526781.238597,43,18128,37.194440841674805
TCP|192.168.2.3:54617<->54.239.31.37:443,1537525643.942646,1537526044.041628,46,18119,400.0989818572998
TCP|176.32.98.108:443<->192.168.2.3:46363,1537523552.479475,1537523697.478915,35,16961,144.9994399547577
TCP|192.168.2.3:39905<->52.119.196.25:443,1537523566.496428,1537523634.8925,34,15529,68.39607191085815
TCP|192.168.2.3:50136<->54.239.27.11:443,1537529904.300093,1537541028.353117,58,15486,11124.053024053574
TCP|192.168.2.3:60004<->54.239.31.37:443,1537523555.80443,1537523625.437879,45,15107,69.6334490776062
TCP|176.32.101.122:443<->192.168.2.3:34333,1537523552.867811,1537523625.352006,30,14417,72.48419499397278
TCP|176.32.99.246:443<->192.168.2.3:35088,1537529936.967505,1537530000.725855,30,14045,63.758350133895874
TCP|192.168.2.3:50799<->52.46.129.41:443,1537528144.111849,1537528444.347249,41,13743,300.23539996147156
TCP|192.168.2.3:36157<->54.239.19.125:443,1537527644.05696,1537528144.215972,36,13721,500.1590118408203
