frame,time,src,dst,handshake_version,num_ciphers,num_extensions,ja3_string,ja3_hash
210,1537523550.133625000,192.168.2.3,54.239.27.11,0x303,13,3,"771,49195-49187-49199-49191-49161-49171-158-103-51-156-60-47-255,11-10-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",8b4915ab1868b8265854db0782853eeb
215,1537523550.158500000,192.168.2.3,52.119.164.214,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
219,1537523550.179028000,192.168.2.3,52.119.164.214,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
242,1537523550.332686000,192.168.2.3,52.119.164.214,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
243,1537523550.333290000,192.168.2.3,176.32.98.106,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
350,1537523551.592277000,192.168.2.3,52.46.157.6,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
364,1537523551.803099000,192.168.2.3,52.46.157.6,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
400,1537523552.220077000,192.168.2.3,52.46.129.109,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
439,1537523552.643377000,192.168.2.3,176.32.98.108,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
483,1537523553.097995000,192.168.2.3,176.32.101.122,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
528,1537523554.112098000,192.168.2.3,52.46.133.19,0x303,22,5,"771,49195-49196-49199-49200-158-159-49161-49162-49171-49172-51-57-50-56-49159-49169-156-157-47-53-5-255,0-11-10-35-13,14-13-25-11-12-24-9-10-22-23-8-6-7-20-21-4-5-18-19-1-2-3-15-16-17,0-1-2",bdf21e38e1f69776df407235625e75e2
