frame,dst_ip,subject_cn,issuer_cn,not_before,not_after,serial
228,192.168.2.3,dp-gw-na.amazon.com,DigiCert Global CA G2,2018-07-24T00:00:00,2019-05-10T12:00:00,11196969930261945518917021113943166386
250,192.168.2.3,arcus-uswest.amazon.com,Amazon,2018-05-01T00:00:00,2019-05-01T12:00:00,6423668370785725137421501606790736478
273,192.168.2.3,firs-ta-g7g.amazon.com,Symantec Class 3 Secure Server CA - G4,2017-11-30T00:00:00,2018-12-30T23:59:59,47678503557672862229570856379211424980
358,192.168.2.3,dcape-na.amazon.com,Symantec Class 3 Secure Server CA - G4,2017-11-30T00:00:00,2018-12-30T23:59:59,85819005373893235428444318571734648060
414,192.168.2.3,dp-rsm-prod.amazon.com,DigiCert Global CA G2,2018-05-25T00:00:00,2019-07-11T12:00:00,10356965603754079133263039527041738845
453,192.168.2.3,device-messaging-na.amazon.com,Amazon,2018-04-04T00:00:00,2019-04-04T12:00:00,7493398693384989914169057628331508455
491,192.168.2.3,updates.amazon.com,DigiCert Global CA G2,2018-04-23T00:00:00,2019-05-21T12:00:00,13460876578547126598266135683653013118
535,192.168.2.3,*.cloudfront.net,DigiCert Global CA G2,2017-11-22T00:00:00,2018-11-21T12:00:00,3432949431188688050831235959937457384
546,192.168.2.3,todo-ta-g7g.amazon.com,DigiCert Global CA G2,2018-05-30T00:00:00,2018-12-30T12:00:00,18002385754779092805851040746663446159
1254,192.168.2.3,device-metrics-us.amazon.com,DigiCert Global CA G2,2018-05-25T00:00:00,2019-06-07T12:00:00,20519749079914778908182869597490886710
1341,192.168.2.3,api.amazon.com,DigiCert Global CA G2,2018-05-16T00:00:00,2019-06-11T12:00:00,15566276989276172698207543845115494707
1505,192.168.2.3,pindorama.amazon.com,Amazon,2018-05-22T00:00:00,2019-05-22T12:00:00,12882168872250821898524706649124140758
253269,192.168.2.3,api.amazonalexa.com,Amazon,2018-07-20T00:00:00,2019-07-20T12:00:00,9366104415318689467964498651450261242
383495,192.168.2.3,tinytts.amazon.com,Symantec Class 3 Secure Server CA - G4,2018-04-25T00:00:00,2019-04-26T23:59:59,169974546149332185646525545580196857259
387687,192.168.2.3,*.execute-api.us-east-1.amazonaws.com,Amazon,2017-12-06T00:00:00,2018-12-06T12:00:00,16958130364189476520008140460145676738
389678,192.168.2.3,*.s3.amazonaws.com,DigiCert Baltimore CA-2 G2,2017-09-22T00:00:00,2019-01-03T12:00:00,7070398785388459861852789774466466137
