ip.src,ip.dst,packets,bytes
13.32.118.129,192.168.2.3,239540,353048036
192.168.2.3,13.32.118.129,123711,8262263
13.32.118.138,192.168.2.3,2648,3878710
192.168.2.3,52.46.136.77,7968,3318583
52.46.136.77,192.168.2.3,7186,2462615
192.168.2.3,52.94.240.174,1851,554731
0.0.0.0,255.255.255.255,1539,526344
192.168.2.3,52.46.129.41,434,395724
52.94.240.174,192.168.2.3,1289,274962
13.32.99.94,192.168.2.3,143,199852
192.168.2.3,13.32.118.138,1556,109260
192.168.2.1,192.168.2.3,905,96323
192.168.2.3,192.168.2.1,901,84017
54.239.28.161,192.168.2.3,80,77890
54.231.40.211,192.168.2.3,55,65331
52.216.233.179,192.168.2.3,56,65249
52.46.129.41,192.168.2.3,276,59541
192.168.2.1,192.168.2.255,617,53062
54.239.27.11,192.168.2.3,111,37858
192.168.2.3,52.94.228.52,87,34891
169.254.15.115,224.0.0.251,148,32489
192.168.2.3,54.239.31.37,89,32030
192.168.2.1,224.0.0.251,148,31860
192.168.2.3,72.21.207.87,79,29424
192.168.2.3,52.94.229.76,36,29349
192.168.2.3,54.239.27.11,137,28992
54.239.29.194,192.168.2.3,51,26957
52.119.168.148,192.168.2.3,56,26276
54.239.31.37,192.168.2.3,78,25831
52.94.228.52,192.168.2.3,75,25334
192.168.2.3,52.46.133.19,54,25271
72.21.207.87,192.168.2.3,72,25103
192.168.2.3,54.239.25.214,66,22578
52.119.164.214,192.168.2.3,42,22547
52.119.196.25,192.168.2.3,41,22304
54.239.25.214,192.168.2.3,55,18933
176.32.98.106,192.168.2.3,29,18917
52.46.133.39,192.168.2.3,53,18825
54.239.18.122,192.168.2.3,51,18717
192.168.2.3,52.46.156.47,43,17986
176.32.98.203,192.168.2.3,136,17969
192.168.2.3,93.184.216.34,253,17202
72.21.214.79,192.168.2.3,128,16646
52.46.133.19,192.168.2.3,41,15969
192.168.2.3,52.46.133.39,59,15727
192.168.2.3,52.46.128.105,25,14304
192.168.2.3,54.239.18.122,56,14280
192.168.2.3,54.239.19.125,37,13183
52.94.241.86,192.168.2.3,100,13146
192.168.2.3,176.32.98.203,136,12988
52.46.156.47,192.168.2.3,40,12802
192.168.2.3,72.21.214.79,130,12288
52.94.227.120,192.168.2.3,32,12232
192.168.2.3,176.32.98.106,31,12039
54.239.19.125,192.168.2.3,33,11528
52.94.232.206,192.168.2.3,31,11428
192.168.69.178,224.0.0.251,44,11035
192.168.2.3,13.32.99.94,147,10257
192.168.2.3,52.119.196.25,43,10248
192.168.69.129,224.0.0.251,34,9973
192.168.2.3,52.94.241.86,103,9701
192.168.69.192,224.0.0.251,31,9675
192.168.2.3,224.0.0.251,55,9675
192.168.2.3,52.94.227.120,36,9527
192.168.2.3,176.32.98.108,20,9288
192.168.2.3,52.94.232.206,36,9268
93.184.216.34,192.168.2.3,130,9096
52.46.157.6,192.168.2.3,21,8761
192.168.2.3,54.239.29.194,53,8312
192.168.2.3,176.32.101.122,16,8269
192.168.2.3,176.32.99.246,16,8264
205.251.243.55,192.168.2.3,21,7884
52.119.196.87,192.168.2.3,22,7782
176.32.98.108,192.168.2.3,15,7673
192.168.2.3,52.119.168.148,55,7421
192.168.69.200,224.0.0.251,28,6996
52.119.162.179,192.168.2.3,15,6910
192.168.2.3,52.46.157.6,26,6698
52.94.229.76,192.168.2.3,25,6671
13.32.99.123,192.168.2.3,11,6630
52.46.128.105,192.168.2.3,20,6401
52.94.229.215,192.168.2.3,17,6239
176.32.101.122,192.168.2.3,14,6148
52.46.129.109,192.168.2.3,14,6094
176.32.101.46,192.168.2.3,11,6065
52.94.240.240,192.168.2.3,11,5987
192.168.2.3,52.119.164.214,47,5933
72.21.207.143,192.168.2.3,10,5928
54.239.26.244,192.168.2.3,10,5927
176.32.99.246,192.168.2.3,14,5781
192.168.2.3,72.21.192.213,64,5760
192.168.2.3,205.251.243.55,26,5715
192.168.2.3,52.119.196.87,27,5387
192.168.2.3,207.171.178.6,56,5040
192.168.2.3,54.239.28.161,59,4950
192.168.2.3,52.94.229.215,20,4910
192.168.2.3,52.216.233.179,59,4331
