,bytes_sent,bytes_received,total_bytes
192.168.2.3,13296601.0,360830757.0,374127358.0
13.32.118.129,353048036.0,8262263.0,361310299.0
52.46.136.77,2462615.0,3318583.0,5781198.0
13.32.118.138,3878710.0,109260.0,3987970.0
52.94.240.174,274962.0,554731.0,829693.0
0.0.0.0,526344.0,0.0,526344.0
255.255.255.255,0.0,526344.0,526344.0
52.46.129.41,59541.0,395724.0,455265.0
192.168.2.1,181245.0,84017.0,265262.0
13.32.99.94,199852.0,10257.0,210109.0
224.0.0.251,0.0,117225.0,117225.0
54.239.28.161,77890.0,4950.0,82840.0
52.216.233.179,65249.0,4331.0,69580.0
54.231.40.211,65331.0,3713.0,69044.0
54.239.27.11,37858.0,28992.0,66850.0
52.94.228.52,25334.0,34891.0,60225.0
54.239.31.37,25831.0,32030.0,57861.0
72.21.207.87,25103.0,29424.0,54527.0
192.168.2.255,0.0,53062.0,53062.0
54.239.25.214,18933.0,22578.0,41511.0
52.46.133.19,15969.0,25271.0,41240.0
52.94.229.76,6671.0,29349.0,36020.0
54.239.29.194,26957.0,8312.0,35269.0
52.46.133.39,18825.0,15727.0,34552.0
52.119.168.148,26276.0,7421.0,33697.0
54.239.18.122,18717.0,14280.0,32997.0
52.119.196.25,22304.0,10248.0,32552.0
169.254.15.115,32489.0,0.0,32489.0
176.32.98.203,17969.0,12988.0,30957.0
176.32.98.106,18917.0,12039.0,30956.0
52.46.156.47,12802.0,17986.0,30788.0
72.21.214.79,16646.0,12288.0,28934.0
52.119.164.214,22547.0,5933.0,28480.0
93.184.216.34,9096.0,17202.0,26298.0
54.239.19.125,11528.0,13183.0,24711.0
52.94.241.86,13146.0,9701.0,22847.0
52.94.227.120,12232.0,9527.0,21759.0
52.46.128.105,6401.0,14304.0,20705.0
52.94.232.206,11428.0,9268.0,20696.0
176.32.98.108,7673.0,9288.0,16961.0
52.46.157.6,8761.0,6698.0,15459.0
176.32.101.122,6148.0,8269.0,14417.0
176.32.99.246,5781.0,8264.0,14045.0
205.251.243.55,7884.0,5715.0,13599.0
52.119.196.87,7782.0,5387.0,13169.0
192.168.69.192,10075.0,1303.0,11378.0
52.94.229.215,6239.0,4910.0,11149.0
192.168.69.178,11127.0,0.0,11127.0
192.168.69.129,10828.0,0.0,10828.0
52.119.162.179,6910.0,2662.0,9572.0
176.32.101.46,6065.0,3430.0,9495.0
52.46.129.109,6094.0,3336.0,9430.0
13.32.99.123,6630.0,1695.0,8325.0
52.94.240.240,5987.0,2288.0,8275.0
72.21.207.143,5928.0,2288.0,8216.0
54.239.26.244,5927.0,2256.0,8183.0
72.21.195.82,4317.0,3491.0,7808.0
207.171.178.6,2610.0,5040.0,7650.0
192.168.69.200,7042.0,0.0,7042.0
72.21.192.213,0.0,5760.0,5760.0
13.32.118.248,1540.0,2992.0,4532.0
13.32.118.30,1610.0,2786.0,4396.0
52.216.96.171,2940.0,1184.0,4124.0
13.32.118.7,1400.0,2720.0,4120.0
52.216.131.3,2222.0,1488.0,3710.0
192.168.69.73,2971.0,400.0,3371.0
13.32.118.117,1186.0,2176.0,3362.0
104.199.64.136,1016.0,1728.0,2744.0
52.216.104.139,1584.0,1108.0,2692.0
52.216.18.224,1530.0,1042.0,2572.0
54.231.33.155,1584.0,810.0,2394.0
52.216.100.179,1584.0,810.0,2394.0
52.216.100.51,1584.0,810.0,2394.0
52.216.100.131,1584.0,810.0,2394.0
52.216.168.107,1584.0,810.0,2394.0
52.216.102.99,1584.0,810.0,2394.0
52.216.104.43,1584.0,810.0,2394.0
52.216.132.195,1111.0,1096.0,2207.0
192.168.69.241,2188.0,0.0,2188.0
52.216.169.171,1111.0,1042.0,2153.0
52.216.128.75,1057.0,1030.0,2087.0
54.231.50.91,1057.0,1030.0,2087.0
52.216.65.224,1057.0,1030.0,2087.0
52.216.232.195,1057.0,1030.0,2087.0
52.216.86.83,1057.0,1030.0,2087.0
52.216.161.3,1057.0,1030.0,2087.0
52.216.169.107,1057.0,1030.0,2087.0
52.216.227.176,1057.0,1030.0,2087.0
54.231.82.82,1057.0,1030.0,2087.0
54.231.40.219,1057.0,1030.0,2087.0
52.216.160.251,1057.0,1030.0,2087.0
52.216.133.59,1057.0,1030.0,2087.0
52.216.228.224,1057.0,1030.0,2087.0
52.216.164.243,1057.0,1030.0,2087.0
52.216.165.251,1057.0,976.0,2033.0
52.216.226.224,1057.0,976.0,2033.0
52.216.16.8,1057.0,922.0,1979.0
54.231.81.48,1111.0,744.0,1855.0
52.216.134.83,1111.0,744.0,1855.0
52.216.132.59,1111.0,744.0,1855.0
52.216.161.219,1111.0,744.0,1855.0
52.216.129.187,1111.0,744.0,1855.0
52.216.168.91,1111.0,744.0,1855.0
52.216.17.216,1111.0,744.0,1855.0
52.216.16.224,1111.0,744.0,1855.0
52.216.105.243,1111.0,744.0,1855.0
52.216.80.0,1111.0,744.0,1855.0
54.231.82.138,1111.0,744.0,1855.0
54.231.33.211,1111.0,744.0,1855.0
54.231.120.227,1111.0,744.0,1855.0
52.216.227.0,1111.0,744.0,1855.0
52.216.17.40,1111.0,744.0,1855.0
52.216.18.120,1111.0,744.0,1855.0
52.216.18.80,1111.0,744.0,1855.0
52.216.131.91,1111.0,744.0,1855.0
52.216.131.83,1111.0,744.0,1855.0
52.216.130.235,1111.0,744.0,1855.0
52.216.230.235,1111.0,744.0,1855.0
52.216.64.208,1111.0,744.0,1855.0
52.216.83.32,1111.0,744.0,1855.0
54.231.114.154,1111.0,744.0,1855.0
52.216.65.0,1111.0,744.0,1855.0
54.231.82.146,1111.0,744.0,1855.0
54.231.98.104,1111.0,744.0,1855.0
52.216.65.248,1057.0,490.0,1547.0
52.216.64.112,1057.0,490.0,1547.0
13.32.99.46,736.0,589.0,1325.0
192.168.69.1,1303.0,0.0,1303.0
192.168.69.255,0.0,946.0,946.0
172.217.23.238,355.0,514.0,869.0
192.168.69.136,817.0,0.0,817.0
224.0.0.22,0.0,702.0,702.0
78.108.145.1,180.0,180.0,360.0
78.108.102.237,180.0,180.0,360.0
239.255.255.250,0.0,334.0,334.0
8.8.8.8,153.0,89.0,242.0
192.168.69.17,241.0,0.0,241.0
224.0.0.2,0.0,138.0,138.0
