bin,packets,z_score,state
0.0,3,-0.08838803045864445,baseline
30.0,1,-0.08913223005081453,baseline
60.0,1,-0.08913223005081453,baseline
70.0,4,-0.08801593066255942,baseline
80.0,2,-0.0887601302547295,baseline
90.0,2,-0.0887601302547295,baseline
100.0,1,-0.08913223005081453,baseline
110.0,2,-0.0887601302547295,baseline
120.0,2,-0.0887601302547295,baseline
130.0,1,-0.08913223005081453,baseline
150.0,1,-0.08913223005081453,baseline
180.0,1,-0.08913223005081453,baseline
200.0,3,-0.08838803045864445,baseline
210.0,2,-0.0887601302547295,baseline
220.0,1,-0.08913223005081453,baseline
230.0,2,-0.0887601302547295,baseline
240.0,2,-0.0887601302547295,baseline
250.0,1,-0.08913223005081453,baseline
260.0,1,-0.08913223005081453,baseline
270.0,1,-0.08913223005081453,baseline
300.0,1,-0.08913223005081453,baseline
330.0,4,-0.08801593066255942,baseline
340.0,2,-0.0887601302547295,baseline
350.0,1,-0.08913223005081453,baseline
360.0,2,-0.0887601302547295,baseline
370.0,1,-0.08913223005081453,baseline
380.0,3,-0.08838803045864445,baseline
390.0,8,-0.08652753147821927,baseline
420.0,1,-0.08913223005081453,baseline
450.0,2,-0.0887601302547295,baseline
460.0,3,-0.08838803045864445,baseline
470.0,1,-0.08913223005081453,baseline
480.0,2,-0.0887601302547295,baseline
490.0,1,-0.08913223005081453,baseline
500.0,1,-0.08913223005081453,baseline
510.0,2,-0.0887601302547295,baseline
520.0,1,-0.08913223005081453,baseline
540.0,1,-0.08913223005081453,baseline
570.0,1,-0.08913223005081453,baseline
580.0,1,-0.08913223005081453,baseline
590.0,3,-0.08838803045864445,baseline
600.0,2,-0.0887601302547295,baseline
610.0,1,-0.08913223005081453,baseline
620.0,1,-0.08913223005081453,baseline
630.0,2,-0.0887601302547295,baseline
640.0,2,-0.0887601302547295,baseline
660.0,1,-0.08913223005081453,baseline
690.0,1,-0.08913223005081453,baseline
710.0,2,-0.0887601302547295,baseline
720.0,352,0.04147479837503313,baseline
730.0,918,0.25208328295916355,baseline
740.0,2580,0.8705131440524935,baseline
750.0,33684,12.444305201481455,burst
760.0,36209,13.38385718659617,burst
770.0,31573,11.658802531945943,burst
780.0,35157,12.992408201114714,burst
790.0,34614,12.790358011840539,burst
800.0,28326,10.450594494057832,burst
810.0,33922,12.532864952949694,burst
820.0,35429,13.093619345649843,burst
830.0,35236,13.021804085005432,burst
840.0,33544,12.39221123002955,burst
850.0,22688,8.352695843730398,burst
860.0,215,-0.009502873688616811,baseline
870.0,18,-0.08280653351736891,baseline
880.0,4,-0.08801593066255942,baseline
890.0,1,-0.08913223005081453,baseline
900.0,2,-0.0887601302547295,baseline
910.0,9,-0.08615543168213424,baseline
920.0,7,-0.0868996312743043,baseline
930.0,5,-0.08764383086647438,baseline
940.0,3,-0.08838803045864445,baseline
950.0,59,-0.06755044187788244,baseline
960.0,157,-0.0310846618615489,baseline
970.0,220,-0.007642374708191631,baseline
980.0,3,-0.08838803045864445,baseline
990.0,3,-0.08838803045864445,baseline
1000.0,1,-0.08913223005081453,baseline
1010.0,158,-0.030712562065463866,baseline
1020.0,62,-0.06643414248962733,baseline
1030.0,24,-0.0805739347408587,baseline
1040.0,1,-0.08913223005081453,baseline
1050.0,9,-0.08615543168213424,baseline
1080.0,5,-0.08764383086647438,baseline
1100.0,3,-0.08838803045864445,baseline
1110.0,5,-0.08764383086647438,baseline
1120.0,2,-0.0887601302547295,baseline
1130.0,1,-0.08913223005081453,baseline
1140.0,5,-0.08764383086647438,baseline
1150.0,121,-0.0444802545206102,baseline
1160.0,1,-0.08913223005081453,baseline
1170.0,1,-0.08913223005081453,baseline
1180.0,4,-0.08801593066255942,baseline
1190.0,3,-0.08838803045864445,baseline
1200.0,1,-0.08913223005081453,baseline
1210.0,3,-0.08838803045864445,baseline
1220.0,54,-0.06941094085830761,baseline
1230.0,79,-0.060108445956181714,baseline
1240.0,102,-0.05155015064622588,baseline
1250.0,1,-0.08913223005081453,baseline
1260.0,2,-0.0887601302547295,baseline
1270.0,5,-0.08764383086647438,baseline
1280.0,186,-0.020293767775082856,baseline
1290.0,8,-0.08652753147821927,baseline
1300.0,176,-0.024014765735933218,baseline
1310.0,249,0.003148519378274414,baseline
1320.0,65,-0.06531784310137222,baseline
1330.0,52,-0.07015514045047769,baseline
1340.0,139,-0.03778245819107955,baseline
1350.0,268,0.0102184155038901,baseline
1360.0,5,-0.08764383086647438,baseline
1370.0,2,-0.0887601302547295,baseline
1380.0,171,-0.025875264716358398,baseline
1390.0,151,-0.03331726063805912,baseline
1400.0,3,-0.08838803045864445,baseline
1410.0,146,-0.0351777596184843,baseline
1440.0,5,-0.08764383086647438,baseline
1450.0,30,-0.07834133596434847,baseline
1460.0,2,-0.0887601302547295,baseline
1470.0,4,-0.08801593066255942,baseline
1480.0,2,-0.0887601302547295,baseline
1490.0,2,-0.0887601302547295,baseline
1500.0,3,-0.08838803045864445,baseline
1510.0,3,-0.08838803045864445,baseline
1520.0,55,-0.06903884106222258,baseline
1530.0,2,-0.0887601302547295,baseline
1540.0,4,-0.08801593066255942,baseline
1560.0,1,-0.08913223005081453,baseline
1570.0,3,-0.08838803045864445,baseline
1580.0,122,-0.044108154724525166,baseline
1590.0,1,-0.08913223005081453,baseline
1610.0,7,-0.0868996312743043,baseline
1620.0,57,-0.0682946414700525,baseline
1630.0,18,-0.08280653351736891,baseline
1640.0,5,-0.08764383086647438,baseline
1650.0,5,-0.08764383086647438,baseline
1660.0,1,-0.08913223005081453,baseline
1670.0,4,-0.08801593066255942,baseline
1680.0,1,-0.08913223005081453,baseline
1700.0,4,-0.08801593066255942,baseline
1710.0,2,-0.0887601302547295,baseline
1730.0,3,-0.08838803045864445,baseline
1740.0,4,-0.08801593066255942,baseline
1750.0,1,-0.08913223005081453,baseline
1760.0,4,-0.08801593066255942,baseline
1770.0,3,-0.08838803045864445,baseline
1780.0,1,-0.08913223005081453,baseline
1790.0,3,-0.08838803045864445,baseline
1800.0,134,-0.039642957171504734,baseline
1810.0,137,-0.038526657783249624,baseline
1820.0,159,-0.03034046226937883,baseline
1830.0,8,-0.08652753147821927,baseline
1840.0,128,-0.041875555948014946,baseline
1850.0,3,-0.08838803045864445,baseline
1860.0,3,-0.08838803045864445,baseline
1870.0,7,-0.0868996312743043,baseline
1880.0,2,-0.0887601302547295,baseline
1890.0,2,-0.0887601302547295,baseline
1900.0,4,-0.08801593066255942,baseline
1910.0,1,-0.08913223005081453,baseline
1920.0,102,-0.05155015064622588,baseline
1930.0,17,-0.08317863331345395,baseline
1940.0,2,-0.0887601302547295,baseline
1950.0,3,-0.08838803045864445,baseline
1960.0,5,-0.08764383086647438,baseline
1980.0,1,-0.08913223005081453,baseline
1990.0,1,-0.08913223005081453,baseline
2000.0,7,-0.0868996312743043,baseline
2010.0,6,-0.08727173107038934,baseline
2020.0,1,-0.08913223005081453,baseline
2030.0,4,-0.08801593066255942,baseline
2040.0,2,-0.0887601302547295,baseline
2050.0,1,-0.08913223005081453,baseline
2060.0,4,-0.08801593066255942,baseline
2070.0,4,-0.08801593066255942,baseline
2090.0,3,-0.08838803045864445,baseline
2100.0,1,-0.08913223005081453,baseline
2120.0,4,-0.08801593066255942,baseline
2130.0,4,-0.08801593066255942,baseline
2140.0,1,-0.08913223005081453,baseline
2150.0,4,-0.08801593066255942,baseline
2160.0,2,-0.0887601302547295,baseline
2170.0,2,-0.0887601302547295,baseline
2180.0,4,-0.08801593066255942,baseline
2190.0,5,-0.08764383086647438,baseline
2200.0,4,-0.08801593066255942,baseline
2210.0,3,-0.08838803045864445,baseline
2220.0,41,-0.07424823820741308,baseline
2230.0,20,-0.08206233392519884,baseline
2240.0,14,-0.08429493270170905,baseline
2250.0,6,-0.08727173107038934,baseline
2260.0,2,-0.0887601302547295,baseline
2270.0,5,-0.08764383086647438,baseline
2280.0,2,-0.0887601302547295,baseline
2290.0,2,-0.0887601302547295,baseline
2300.0,4,-0.08801593066255942,baseline
2310.0,3,-0.08838803045864445,baseline
2330.0,3,-0.08838803045864445,baseline
2340.0,1,-0.08913223005081453,baseline
2350.0,2,-0.0887601302547295,baseline
2370.0,1,-0.08913223005081453,baseline
2380.0,7,-0.0868996312743043,baseline
2390.0,1,-0.08913223005081453,baseline
2400.0,3,-0.08838803045864445,baseline
2410.0,4,-0.08801593066255942,baseline
2420.0,33,-0.07722503657609338,baseline
2430.0,2,-0.0887601302547295,baseline
2440.0,4,-0.08801593066255942,baseline
2460.0,1,-0.08913223005081453,baseline
2470.0,3,-0.08838803045864445,baseline
2490.0,1,-0.08913223005081453,baseline
2500.0,3,-0.08838803045864445,baseline
2510.0,3,-0.08838803045864445,baseline
2520.0,3,-0.08838803045864445,baseline
2530.0,62,-0.06643414248962733,baseline
2540.0,12,-0.08503913229387913,baseline
2550.0,5,-0.08764383086647438,baseline
2560.0,1,-0.08913223005081453,baseline
2570.0,5,-0.08764383086647438,baseline
2580.0,1,-0.08913223005081453,baseline
2600.0,5,-0.08764383086647438,baseline
2610.0,258,0.006497417543039738,baseline
2620.0,110,-0.0485733522775456,baseline
2630.0,339,0.03663750102592766,baseline
2640.0,332,0.03403280245333241,baseline
2650.0,1,-0.08913223005081453,baseline
2660.0,217,-0.008758674096446739,baseline
2670.0,281,0.015055712852995567,baseline
2680.0,1,-0.08913223005081453,baseline
2690.0,1,-0.08913223005081453,baseline
2700.0,5,-0.08764383086647438,baseline
2730.0,4,-0.08801593066255942,baseline
2760.0,4,-0.08801593066255942,baseline
2770.0,52,-0.07015514045047769,baseline
2780.0,377,0.050777293277159026,baseline
2790.0,321,0.02993970469639701,baseline
2800.0,251,0.0038927189704444864,baseline
2810.0,316,0.02807920571597183,baseline
2820.0,150,-0.03368936043414415,baseline
2830.0,261,0.007613716931294847,baseline
2840.0,173,-0.025131065124188324,baseline
2850.0,116,-0.04634075350103538,baseline
2860.0,188,-0.019549568182912785,baseline
2870.0,314,0.027335006123801756,baseline
2880.0,256,0.0057532179508696666,baseline
2890.0,278,0.013939413464740459,baseline
2900.0,256,0.0057532179508696666,baseline
2910.0,224,-0.006153975523851487,baseline
2920.0,126,-0.04261975554018502,baseline
2930.0,1,-0.08913223005081453,baseline
2940.0,3,-0.08838803045864445,baseline
2950.0,5,-0.08764383086647438,baseline
2970.0,288,0.01766041142559082,baseline
2980.0,258,0.006497417543039738,baseline
2990.0,181,-0.022154266755508037,baseline
3000.0,216,-0.009130773892531776,baseline
3010.0,203,-0.013968071241637244,baseline
3020.0,104,-0.05080595105405581,baseline
3030.0,354,0.0422189979672032,baseline
3040.0,298,0.02138140938644118,baseline
3050.0,187,-0.01992166797899782,baseline
3060.0,174,-0.02475896532810329,baseline
3070.0,271,0.011334714892145208,baseline
3080.0,270,0.01096261509606017,baseline
3090.0,267,0.009846315707805062,baseline
3100.0,189,-0.01917746838682775,baseline
3120.0,1,-0.08913223005081453,baseline
3130.0,107,-0.04968965166580071,baseline
3140.0,307,0.024730307551206504,baseline
3150.0,54,-0.06941094085830761,baseline
3160.0,1,-0.08913223005081453,baseline
3170.0,3,-0.08838803045864445,baseline
