bin,packets,bytes
0.0,3,770
30.0,1,86
60.0,1,86
70.0,5,1919
80.0,2,684
90.0,2,428
100.0,1,342
110.0,2,684
120.0,2,428
130.0,1,342
150.0,1,86
180.0,1,86
200.0,3,1026
210.0,2,428
220.0,1,342
230.0,2,684
240.0,2,428
250.0,1,342
260.0,1,342
270.0,1,86
300.0,1,86
320.0,3,126
330.0,4,1112
340.0,2,684
350.0,1,342
360.0,2,428
370.0,1,342
380.0,4,1091
390.0,11,2675
420.0,1,86
450.0,2,428
460.0,3,1026
470.0,1,342
480.0,2,428
490.0,1,342
500.0,1,342
510.0,2,428
520.0,1,342
540.0,1,86
570.0,1,86
580.0,1,342
590.0,3,1026
600.0,2,428
610.0,1,342
620.0,1,342
630.0,2,428
640.0,2,684
660.0,1,86
690.0,1,86
710.0,2,684
720.0,374,115325
730.0,920,825544
740.0,2587,2339192
750.0,33687,33643560
760.0,36210,36013988
770.0,31573,31285118
780.0,35158,34836902
790.0,34614,34358148
800.0,28327,28361683
810.0,33923,33650886
820.0,35429,35474627
830.0,35236,35016654
840.0,33544,33278619
850.0,22688,22432969
860.0,215,135842
870.0,19,2676
880.0,4,916
890.0,3,600
900.0,2,428
910.0,9,820
920.0,7,760
930.0,5,486
940.0,3,343
950.0,59,24201
960.0,157,89089
970.0,220,115761
980.0,3,572
990.0,3,770
1000.0,1,342
1010.0,158,74641
1020.0,62,6578
1030.0,24,2685
1040.0,1,54
1050.0,9,612
1080.0,5,384
1100.0,3,1026
1110.0,5,672
1120.0,2,684
1130.0,1,342
1140.0,5,672
1150.0,121,59155
1160.0,1,342
1170.0,1,86
1180.0,4,298
1190.0,5,753
1200.0,1,86
1210.0,3,244
1220.0,54,21822
1230.0,79,31206
1240.0,102,62074
1250.0,1,342
1260.0,2,428
1270.0,5,640
1280.0,186,122126
1290.0,10,2160
1300.0,178,104563
1310.0,249,119981
1320.0,65,6210
1330.0,52,22755
1340.0,139,84736
1350.0,268,127794
1360.0,5,1256
1370.0,2,396
1380.0,171,61266
1390.0,151,84163
1400.0,3,575
1410.0,146,76870
1440.0,5,384
1450.0,30,9646
1460.0,2,108
1470.0,4,330
1480.0,2,684
1490.0,4,942
1500.0,3,523
1510.0,3,491
1520.0,55,25872
1530.0,2,428
1540.0,4,586
1560.0,1,86
1570.0,3,244
1580.0,122,56373
1590.0,1,86
1610.0,7,1324
1620.0,57,5733
1630.0,18,2221
1640.0,5,928
1650.0,5,590
1660.0,1,342
1670.0,4,935
1680.0,1,86
1700.0,4,298
1710.0,2,140
1730.0,3,244
1740.0,4,1112
1750.0,1,342
1760.0,4,586
1770.0,3,770
1780.0,1,342
1790.0,5,844
1800.0,134,52073
1810.0,137,54743
1820.0,159,60973
1830.0,8,679
1840.0,128,60672
1850.0,3,495
1860.0,4,379
1870.0,7,1324
1880.0,2,684
1890.0,2,428
1900.0,4,586
1910.0,1,342
1920.0,104,26606
1930.0,17,1761
1940.0,2,108
1950.0,3,194
1960.0,5,352
1980.0,1,86
1990.0,1,95
2000.0,7,1571
2010.0,6,1013
2020.0,1,342
2030.0,4,586
2040.0,2,428
2050.0,1,342
2060.0,4,586
2070.0,4,581
2090.0,5,502
2100.0,1,86
2120.0,4,586
2130.0,4,1112
2140.0,1,342
2150.0,4,586
2160.0,2,428
2170.0,2,684
2180.0,4,586
2190.0,7,1584
2200.0,6,1498
2210.0,3,244
2220.0,41,3516
2230.0,20,2225
2240.0,14,1311
2250.0,6,932
2260.0,2,684
2270.0,5,640
2280.0,2,428
2290.0,2,684
2300.0,4,586
2310.0,3,482
2330.0,3,244
2340.0,1,86
2350.0,2,534
2360.0,2,84
2370.0,1,86
2380.0,7,1324
2390.0,3,600
2400.0,3,770
2410.0,4,586
2420.0,33,10720
2430.0,2,428
2440.0,4,586
2460.0,1,86
2470.0,3,244
2490.0,1,86
2500.0,3,244
2510.0,3,1026
2520.0,3,770
2530.0,62,6053
2540.0,12,1409
2550.0,5,590
2560.0,1,342
2570.0,5,640
2580.0,1,86
2600.0,5,488
2610.0,258,137585
2620.0,110,36426
2630.0,339,100451
2640.0,332,195366
2650.0,1,342
2660.0,217,58841
2670.0,281,81280
2680.0,1,342
2690.0,3,600
2700.0,5,672
2730.0,4,330
2760.0,4,330
2770.0,312,36178
2780.0,627,113933
2790.0,321,98301
2800.0,251,92807
2810.0,316,88283
2820.0,150,54500
2830.0,261,103499
2840.0,173,79770
2850.0,116,30855
2860.0,188,97762
2870.0,314,95528
2880.0,256,95209
2890.0,278,84831
2900.0,256,93196
2910.0,224,90073
2920.0,126,38143
2930.0,1,342
2940.0,3,770
2950.0,5,640
2970.0,288,105691
2980.0,258,84945
2990.0,185,90201
3000.0,216,119224
3010.0,203,93703
3020.0,104,27939
3030.0,354,99860
3040.0,298,95686
3050.0,187,50349
3060.0,174,62164
3070.0,271,83066
3080.0,270,93147
3090.0,270,92986
3100.0,190,52151
3120.0,1,86
3130.0,107,26306
3140.0,307,97476
3150.0,54,15098
3160.0,1,342
3170.0,3,738
3180.0,5,672
3190.0,1,342
3200.0,1,342
3210.0,5,672
3220.0,66,36427
3240.0,4,330
3270.0,5,384
3280.0,3,1026
3290.0,4,942
3300.0,5,672
3310.0,1,342
3320.0,1,342
3330.0,5,672
3340.0,3,801
3360.0,1,86
3370.0,4,298
3390.0,4,617
3400.0,3,244
3410.0,4,1368
3420.0,2,428
3430.0,63,6143
3440.0,2,396
3450.0,5,590
3460.0,4,586
3470.0,2,396
3480.0,1,86
3490.0,3,244
3510.0,1,86
3520.0,40,11360
3530.0,1,342
3540.0,4,1112
3550.0,4,586
3560.0,1,342
3570.0,2,428
3580.0,175,88224
3590.0,296,106589
3600.0,4348,4035355
3630.0,5,384
3660.0,5,672
3670.0,3,1026
3680.0,1,342
3690.0,5,672
3700.0,1,342
3710.0,2,684
3720.0,9,967
3730.0,58,5467
3740.0,11,1222
3750.0,8,558
3770.0,1,54
3780.0,6,414
3790.0,2,684
3800.0,2,684
3810.0,5,672
3820.0,2,396
