flow,packets,mean_interval_s,cv,duration_s,classification
UDP|192.168.1.132:1900<->239.255.255.250:1900,9048,8.711,2.227,78810.8,bursty/irregular
TCP|104.155.18.91:443<->192.168.1.132:37653,5958,13.235,1.124,78840.3,bursty/irregular
TCP|130.211.67.12:80<->192.168.1.132:60840,24,0.011,3.393,0.3,bursty/irregular
TCP|130.211.67.12:80<->192.168.1.132:60900,18,0.009,2.339,0.2,bursty/irregular
TCP|192.168.1.132:49245<->52.212.88.21:80,16,0.014,1.42,0.2,bursty/irregular
TCP|192.168.1.132:60707<->52.215.95.120:80,15,0.01,1.35,0.1,bursty/irregular
TCP|130.211.67.12:80<->192.168.1.132:60787,15,0.016,2.447,0.2,bursty/irregular
TCP|192.168.1.132:57092<->52.209.221.67:80,14,0.009,1.455,0.1,bursty/irregular
TCP|192.168.1.132:57086<->52.209.221.67:80,14,0.009,1.461,0.1,bursty/irregular
TCP|192.168.1.132:60645<->52.215.95.120:80,14,0.009,1.464,0.1,bursty/irregular
TCP|192.168.1.132:60602<->52.215.95.120:80,14,0.01,1.461,0.1,bursty/irregular
TCP|192.168.1.132:56812<->52.209.221.67:80,14,0.009,1.459,0.1,bursty/irregular
TCP|192.168.1.132:57054<->52.209.221.67:80,14,0.009,1.463,0.1,bursty/irregular
TCP|130.211.67.12:80<->192.168.1.132:60889,14,0.019,2.444,0.3,bursty/irregular
TCP|130.211.67.12:80<->192.168.1.132:60836,14,0.019,2.418,0.2,bursty/irregular
TCP|192.168.1.132:60665<->52.215.95.120:80,14,0.009,1.461,0.1,bursty/irregular
TCP|192.168.1.132:57018<->52.209.221.67:80,14,0.009,1.454,0.1,bursty/irregular
TCP|192.168.1.132:60596<->52.215.95.120:80,14,0.01,1.453,0.1,bursty/irregular
TCP|192.168.1.132:57062<->52.209.221.67:80,14,0.01,1.453,0.1,bursty/irregular
TCP|192.168.1.132:57024<->52.209.221.67:80,14,0.009,1.446,0.1,bursty/irregular
TCP|192.168.1.132:60701<->52.215.95.120:80,14,0.009,1.45,0.1,bursty/irregular
TCP|192.168.1.132:57098<->52.209.221.67:80,14,0.009,1.45,0.1,bursty/irregular
TCP|192.168.1.132:56806<->52.209.221.67:80,14,0.009,1.459,0.1,bursty/irregular
TCP|192.168.1.132:57042<->52.209.221.67:80,14,0.009,1.45,0.1,bursty/irregular
TCP|192.168.1.132:57036<->52.209.221.67:80,14,0.009,1.461,0.1,bursty/irregular
TCP|192.168.1.132:57012<->52.209.221.67:80,14,0.009,1.459,0.1,bursty/irregular
TCP|192.168.1.132:60627<->52.215.95.120:80,13,0.01,1.372,0.1,bursty/irregular
TCP|192.168.1.132:57115<->52.209.221.67:80,13,0.01,1.368,0.1,bursty/irregular
TCP|192.168.1.132:60622<->52.215.95.120:80,13,0.012,1.188,0.1,bursty/irregular
TCP|130.211.67.12:80<->192.168.1.132:60901,13,0.014,1.923,0.2,bursty/irregular
TCP|130.211.67.12:80<->192.168.1.132:60902,13,10.435,2.13,125.2,bursty/irregular
TCP|192.168.1.132:60696<->52.215.95.120:80,13,0.013,1.164,0.2,bursty/irregular
TCP|192.168.1.132:60671<->52.215.95.120:80,13,0.01,1.365,0.1,bursty/irregular
TCP|192.168.1.132:60677<->52.215.95.120:80,13,0.01,1.368,0.1,bursty/irregular
TCP|192.168.1.132:57069<->52.209.221.67:80,12,0.013,1.072,0.1,bursty/irregular
TCP|192.168.1.132:60640<->52.215.95.120:80,12,0.012,1.106,0.1,bursty/irregular
TCP|192.168.1.132:40550<->52.51.133.171:80,12,0.009,1.562,0.1,bursty/irregular
TCP|192.168.1.132:57075<->52.209.221.67:80,12,0.013,1.075,0.1,bursty/irregular
TCP|192.168.1.132:60404<->52.215.95.120:80,12,0.013,1.089,0.1,bursty/irregular
TCP|192.168.1.132:57105<->52.209.221.67:80,12,0.012,1.144,0.1,bursty/irregular
TCP|192.168.1.132:57081<->52.209.221.67:80,12,0.014,1.072,0.2,bursty/irregular
TCP|192.168.1.132:60410<->52.215.95.120:80,12,0.013,1.088,0.1,bursty/irregular
TCP|192.168.1.132:60616<->52.215.95.120:80,12,0.013,1.081,0.1,bursty/irregular
TCP|192.168.1.132:57031<->52.209.221.67:80,12,0.013,1.073,0.1,bursty/irregular
TCP|192.168.1.132:57000<->52.209.221.67:80,12,0.014,1.074,0.2,bursty/irregular
TCP|192.168.1.132:57006<->52.209.221.67:80,12,0.013,1.073,0.1,bursty/irregular
TCP|192.168.1.132:57049<->52.209.221.67:80,12,0.013,1.077,0.1,bursty/irregular
TCP|192.168.1.132:60610<->52.215.95.120:80,12,0.013,1.083,0.1,bursty/irregular
TCP|192.168.1.132:60634<->52.215.95.120:80,12,0.013,1.116,0.1,bursty/irregular
TCP|192.168.1.132:60660<->52.215.95.120:80,12,0.013,1.091,0.1,bursty/irregular
TCP|192.168.1.132:60652<->52.215.95.120:80,12,0.013,1.098,0.1,bursty/irregular
TCP|192.168.1.132:60684<->52.215.95.120:80,12,0.014,1.07,0.2,bursty/irregular
TCP|192.168.1.132:60713<->52.215.95.120:80,12,0.014,1.07,0.2,bursty/irregular
TCP|192.168.1.132:60690<->52.215.95.120:80,12,0.012,1.08,0.1,bursty/irregular
TCP|130.211.67.12:80<->192.168.1.132:60899,11,0.117,2.52,1.2,bursty/irregular
