flow,start,end,packets,bytes,duration_s
UDP|192.168.1.132:nan<->239.255.255.250:nan,1540469197.400159,1540548008.159827,9048,3221088,78810.7596681118
TCP|104.155.18.91:443<->192.168.1.132:37653,1540469198.477548,1540548038.806853,5958,398214,78840.32930517197
UDP|192.168.1.1:nan<->192.168.1.132:nan,1540469831.265405,1540547242.647009,386,70770,77411.38160395622
TCP|130.211.67.12:80<->192.168.1.132:60840,1540514622.892352,1540514623.150959,24,11571,0.2586069107055664
TCP|130.211.67.12:80<->192.168.1.132:60900,1540545547.219111,1540545547.374778,18,10073,0.15566706657409668
TCP|192.168.1.132:49245<->52.212.88.21:80,1540540925.448234,1540540925.65537,16,9101,0.20713591575622559
TCP|192.168.1.132:60707<->52.215.95.120:80,1540540932.684106,1540540932.820528,15,5711,0.13642191886901855
UDP|192.168.1.132:nan<->216.239.35.12:nan,1540470081.850824,1540547904.400511,53,4770,77822.54968690872
UDP|192.168.1.132:nan<->216.239.35.4:nan,1540469302.53864,1540546961.029297,52,4680,77658.49065709114
UDP|192.168.1.132:nan<->216.239.35.8:nan,1540469385.734089,1540546435.602521,52,4680,77049.86843204498
TCP|130.211.67.12:80<->192.168.1.132:60901,1540545547.36128,1540545547.526936,13,4602,0.16565608978271484
UDP|192.168.1.132:nan<->216.239.35.0:nan,1540470187.222098,1540546651.811546,50,4500,76464.58944797516
TCP|192.168.1.132:56812<->52.209.221.67:80,1540476124.983569,1540476125.101753,14,4220,0.11818408966064453
TCP|192.168.1.132:60596<->52.215.95.120:80,1540479724.840014,1540479724.964444,14,4220,0.12442994117736816
TCP|192.168.1.132:57012<->52.209.221.67:80,1540486924.852768,1540486924.970953,14,4220,0.11818504333496094
TCP|192.168.1.132:57092<->52.209.221.67:80,1540533724.844016,1540533724.962199,14,4220,0.11818289756774902
TCP|192.168.1.132:57086<->52.209.221.67:80,1540530124.860461,1540530124.98364,14,4220,0.12317895889282227
TCP|192.168.1.132:60701<->52.215.95.120:80,1540540924.868566,1540540924.986748,14,4220,0.11818194389343262
TCP|192.168.1.132:60645<->52.215.95.120:80,1540508524.931122,1540508525.048305,14,4220,0.11718297004699707
TCP|192.168.1.132:57018<->52.209.221.67:80,1540490524.903913,1540490525.021096,14,4220,0.11718297004699707
