remote_endpoint,num_connections,mean_interval_s,cv,classification
192.168.1.1,191,407.43,1.085,irregular connection pattern
2.16.60.82,47,1682.86,0.627,irregular connection pattern
2.16.60.139,39,1942.39,0.733,irregular connection pattern
216.239.35.12,27,2993.16,0.44,heartbeat/periodic (session-level)
216.239.35.8,26,3081.99,0.4,heartbeat/periodic (session-level)
216.239.35.4,26,3106.33,0.398,heartbeat/periodic (session-level)
216.239.35.0,25,3186.02,0.374,heartbeat/periodic (session-level)
52.215.95.120,22,3428.58,0.223,heartbeat/periodic (session-level)
52.209.221.67,21,3600.01,0.0,heartbeat/periodic (session-level)
130.211.67.12,8,8888.64,1.342,irregular connection pattern
