ip.src,ip.dst,packets,bytes
192.168.1.132,239.255.255.250,9048,3221088
192.168.1.132,104.155.18.91,3291,219141
104.155.18.91,192.168.1.132,2667,179073
192.168.1.1,192.168.1.132,193,55156
192.168.1.132,52.215.95.120,143,51296
192.168.1.132,52.209.221.67,139,47030
52.209.221.67,192.168.1.132,138,34465
192.168.1.132,130.211.67.12,64,32767
52.215.95.120,192.168.1.132,139,31618
192.168.1.132,192.168.1.1,193,15614
192.168.1.132,2.16.60.82,208,12774
192.168.1.132,2.16.60.139,172,10554
2.16.60.82,192.168.1.132,118,7470
2.16.60.139,192.168.1.132,99,6270
52.212.88.21,192.168.1.132,6,5611
130.211.67.12,192.168.1.132,58,4922
192.168.1.132,52.212.88.21,10,3490
192.168.1.132,52.51.133.171,11,2991
52.51.133.171,192.168.1.132,11,2932
192.168.1.132,216.239.35.12,27,2430
192.168.1.132,216.239.35.8,26,2340
216.239.35.12,192.168.1.132,26,2340
216.239.35.8,192.168.1.132,26,2340
192.168.1.132,216.239.35.4,26,2340
216.239.35.4,192.168.1.132,26,2340
216.239.35.0,192.168.1.132,25,2250
192.168.1.132,216.239.35.0,25,2250
192.168.1.132,2.21.172.138,4,246
2.21.172.138,192.168.1.132,2,126
