,bytes_sent,bytes_received,total_bytes
192.168.1.132,3626351.0,336913,3963264.0
239.255.255.250,0.0,3221088,3221088.0
104.155.18.91,179073.0,219141,398214.0
52.215.95.120,31618.0,51296,82914.0
52.209.221.67,34465.0,47030,81495.0
192.168.1.1,55156.0,15614,70770.0
130.211.67.12,4922.0,32767,37689.0
2.16.60.82,7470.0,12774,20244.0
2.16.60.139,6270.0,10554,16824.0
52.212.88.21,5611.0,3490,9101.0
52.51.133.171,2932.0,2991,5923.0
216.239.35.12,2340.0,2430,4770.0
216.239.35.8,2340.0,2340,4680.0
216.239.35.4,2340.0,2340,4680.0
216.239.35.0,2250.0,2250,4500.0
2.21.172.138,126.0,246,372.0
