bin,packets,bytes
0.0,10,2376
30.0,4,240
50.0,6,2136
60.0,4,240
90.0,5,362
100.0,8,2316
120.0,4,240
150.0,4,240
160.0,6,2136
180.0,6,420
210.0,5,362
220.0,6,2136
240.0,4,240
270.0,10,2376
300.0,4,240
330.0,11,2498
360.0,4,240
380.0,6,2136
390.0,4,240
420.0,4,240
440.0,6,2136
450.0,5,362
480.0,4,240
490.0,6,2136
510.0,4,240
540.0,4,240
550.0,6,2136
570.0,3,242
600.0,10,2376
630.0,14,1167
660.0,10,2376
690.0,5,362
710.0,6,2136
720.0,4,240
750.0,4,240
770.0,6,2136
780.0,4,240
810.0,5,362
820.0,6,2136
840.0,4,240
870.0,10,2376
880.0,4,300
900.0,4,240
930.0,11,2498
960.0,4,240
980.0,8,2316
990.0,4,240
1020.0,4,240
1040.0,6,2136
1050.0,5,362
1080.0,4,240
1090.0,6,2136
1110.0,4,240
1140.0,4,240
1150.0,8,2316
1160.0,2,120
1170.0,5,362
1200.0,10,2376
1220.0,2,180
1230.0,2,120
1260.0,10,2376
1290.0,3,242
1310.0,6,2136
1320.0,4,240
1350.0,2,120
1360.0,6,2136
1380.0,4,240
1410.0,9,2378
1440.0,4,240
1470.0,8,2256
1500.0,4,240
1520.0,6,2136
1530.0,11,1043
1560.0,4,240
1570.0,6,2136
1590.0,2,120
1620.0,10,2376
1650.0,3,242
1670.0,6,2136
1680.0,4,240
1710.0,2,120
1720.0,6,2136
1740.0,4,240
1770.0,9,2378
1800.0,4,240
1830.0,8,2256
1860.0,4,240
1880.0,6,2136
1890.0,3,242
1910.0,4,300
1920.0,2,120
1930.0,6,2136
1950.0,2,120
1980.0,10,2376
2010.0,3,242
2030.0,6,2136
2040.0,4,240
2070.0,4,300
2090.0,6,2136
2100.0,4,240
2130.0,3,242
2140.0,6,2136
2160.0,4,240
2190.0,10,2376
2220.0,6,420
2240.0,6,2136
2250.0,3,242
2280.0,4,240
2290.0,8,2316
2300.0,2,120
2310.0,3,180
2340.0,4,240
2350.0,6,2136
