bin,packets,bytes
0.0,2,429
10.0,1,60
20.0,1,60
30.0,1,60
40.0,1,60
50.0,1,60
60.0,5,2199
70.0,3,1240
80.0,3,1240
90.0,23,9816
100.0,1,60
110.0,1,60
120.0,2,429
130.0,1,60
140.0,1,60
150.0,1,60
160.0,1,60
170.0,1,60
180.0,2,429
190.0,13,1752
200.0,6,1350
210.0,2,402
220.0,2,402
230.0,2,402
240.0,20,3329
250.0,2,402
260.0,13,1535
270.0,2,402
280.0,13,1812
290.0,7,1460
300.0,2,429
310.0,2,402
320.0,1,60
330.0,19,3212
340.0,3,744
350.0,2,402
360.0,3,771
370.0,4,662
380.0,1,60
390.0,1,60
400.0,1,60
410.0,1,60
420.0,2,429
430.0,1,60
440.0,1,60
450.0,1,60
460.0,1,60
470.0,1,60
480.0,2,429
490.0,1,60
500.0,1,60
510.0,1,60
520.0,1,60
530.0,71,7164
540.0,173,18491
550.0,59,15182
560.0,43,11998
570.0,15,8566
580.0,15,900
590.0,13,3142
600.0,12,3391
610.0,13,3142
620.0,15,3262
630.0,37,9914
640.0,5,906
650.0,7,2176
660.0,18,3751
670.0,24,4724
680.0,19,4542
690.0,12,3364
700.0,28,6622
710.0,13,3814
720.0,29,6201
730.0,17,3946
740.0,16,3604
750.0,13,3142
760.0,25,5226
770.0,28,7330
780.0,19,4765
790.0,14,3484
800.0,13,3142
810.0,30,6516
820.0,18,3724
830.0,14,3484
840.0,27,6871
850.0,19,4314
860.0,11,3022
870.0,13,3142
880.0,15,3262
890.0,5,906
900.0,10,2665
910.0,15,3262
920.0,23,6040
930.0,15,3934
940.0,11,3022
950.0,17,3382
960.0,12,3391
970.0,13,3142
980.0,15,3262
990.0,27,8048
1000.0,13,3814
1010.0,15,3262
1020.0,16,3631
1030.0,13,3142
1040.0,17,3382
1050.0,11,3022
1060.0,25,6160
1070.0,13,3814
1080.0,16,3631
1090.0,13,3142
1100.0,11,3022
1110.0,17,3382
1120.0,13,3142
1130.0,34,7217
1140.0,18,4423
1150.0,23,4530
1160.0,24,4976
1170.0,13,3706
1180.0,13,3142
1190.0,18,3724
1200.0,42,9309
1210.0,18,4396
1220.0,12,3364
1230.0,14,3484
1240.0,27,4910
1250.0,11,2410
1260.0,26,4684
1270.0,12,3364
1280.0,30,6742
1290.0,31,6966
1300.0,13,3706
1310.0,17,3382
1320.0,13,3733
1330.0,20,3984
1340.0,11,3022
1350.0,35,9794
1360.0,15,3262
1370.0,5,906
1380.0,14,2905
1390.0,11,3022
1400.0,17,3382
1410.0,13,3142
1420.0,23,6040
1430.0,13,3814
1440.0,34,6624
1450.0,13,3142
1460.0,11,3022
1470.0,17,3382
1480.0,11,3022
1490.0,17,3924
1500.0,24,8307
1510.0,17,3382
1520.0,13,3142
1530.0,11,3022
1540.0,13,3142
1550.0,15,3262
1560.0,24,6409
1570.0,13,3814
1580.0,13,3142
1590.0,17,3382
1600.0,11,3022
1610.0,13,3142
1620.0,16,3631
1630.0,34,7814
1640.0,19,5022
1650.0,13,3706
1660.0,18,3724
1670.0,12,3364
1680.0,31,6321
1690.0,10,1488
1700.0,8,2518
1710.0,35,9794
1720.0,27,5518
1730.0,21,4470
1740.0,12,3391
